date,AvgTemperature
2022-01-01,0.7
2022-01-02,3.4
2022-01-03,4.2
2022-01-04,4.6
2022-01-05,1.2
2022-01-06,2.7
2022-01-07,3.7
2022-01-08,5.4
2022-01-09,7.0
2022-01-10,5.3
2022-01-11,5.8
2022-01-12,2.0
2022-01-13,1.6
2022-01-14,2.3
2022-01-15,2.8
2022-01-16,4.2
2022-01-17,3.6
2022-01-18,1.0
2022-01-19,0.6
2022-01-20,1.1
2022-01-21,0.8
2022-01-22,2.1
2022-01-23,2.5
2022-01-24,4.1
2022-01-25,2.3
2022-01-26,5.0
2022-01-27,4.4
2022-01-28,3.1
2022-01-29,3.8
2022-01-30,2.7
2022-01-31,2.7
2022-02-01,3.8
2022-02-02,4.3
2022-02-03,3.3
2022-02-04,2.6
2022-02-05,0.8
2022-02-06,0.5
2022-02-07,1.6
2022-02-08,3.1
2022-02-09,3.7
2022-02-10,3.0
2022-02-11,3.3
2022-02-12,4.0
2022-02-13,4.3
2022-02-14,4.8
2022-02-15,5.9
2022-02-16,2.2
2022-02-17,1.5
2022-02-18,3.0
2022-02-19,3.4
2022-02-20,3.0
2022-02-21,0.5
2022-02-22,0.9
2022-02-23,0.4
2022-02-24,1.2
2022-02-25,4.1
2022-02-26,6.7
2022-02-27,6.8
2022-02-28,6.8
2022-03-01,6.2
2022-03-02,7.0
2022-03-03,5.8
2022-03-04,5.5
2022-03-05,9.3
2022-03-06,4.2
2022-03-07,4.4
2022-03-08,4.2
2022-03-09,5.1
2022-03-10,6.3
2022-03-11,10.0
2022-03-12,11.0
2022-03-13,16.4
2022-03-14,13.1
2022-03-15,11.6
2022-03-16,10.1
2022-03-17,8.4
2022-03-18,6.9
2022-03-19,6.4
2022-03-20,6.3
2022-03-21,6.5
2022-03-22,5.9
2022-03-23,4.9
2022-03-24,8.6
2022-03-25,10.6
2022-03-26,16.6
2022-03-27,10.6
2022-03-28,9.0
2022-03-29,8.4
2022-03-30,14.5
2022-03-31,10.1
2022-04-01,6.9
2022-04-02,6.0
2022-04-03,8.9
2022-04-04,10.4
2022-04-05,9.8
2022-04-06,12.4
2022-04-07,12.2
2022-04-08,10.2
2022-04-09,16.3
2022-04-10,16.6
2022-04-11,16.8
2022-04-12,18.5
2022-04-13,17.0
2022-04-14,13.4
2022-04-15,11.9
2022-04-16,9.9
2022-04-17,9.5
2022-04-18,12.3
2022-04-19,11.7
2022-04-20,14.6
2022-04-21,16.9
2022-04-22,16.3
2022-04-23,15.3
2022-04-24,16.0
2022-04-25,18.5
2022-04-26,20.9
2022-04-27,15.3
2022-04-28,14.2
2022-04-29,10.8
2022-04-30,11.8
2022-05-01,11.0
2022-05-02,12.3
2022-05-03,11.8
2022-05-04,16.7
2022-05-05,17.6
2022-05-06,18.3
2022-05-07,17.8
2022-05-08,14.4
2022-05-09,12.6
2022-05-10,14.5
2022-05-11,18.2
2022-05-12,19.7
2022-05-13,19.3
2022-05-14,16.1
2022-05-15,14.0
2022-05-16,15.0
2022-05-17,15.8
2022-05-18,17.9
2022-05-19,20.2
2022-05-20,20.5
2022-05-21,19.0
2022-05-22,19.2
2022-05-23,18.6
2022-05-24,19.7
2022-05-25,22.5
2022-05-26,23.8
2022-05-27,20.8
2022-05-28,21.0
2022-05-29,21.7
2022-05-30,22.0
2022-05-31,19.1
2022-06-01,18.5
2022-06-02,20.9
2022-06-03,20.0
2022-06-04,18.6
2022-06-05,21.0
2022-06-06,18.0
2022-06-07,17.1
2022-06-08,17.3
2022-06-09,18.7
2022-06-10,20.5
2022-06-11,21.4
2022-06-12,19.5
2022-06-13,19.5
2022-06-14,19.1
2022-06-15,19.9
2022-06-16,22.5
2022-06-17,24.1
2022-06-18,23.9
2022-06-19,24.8
2022-06-20,25.1
2022-06-21,25.0
2022-06-22,24.4
2022-06-23,28.0
2022-06-24,30.1
2022-06-25,27.2
2022-06-26,28.9
2022-06-27,29.3
2022-06-28,30.0
2022-06-29,29.6
2022-06-30,29.0
2022-07-01,27.6
2022-07-02,27.3
2022-07-03,27.2
2022-07-04,27.0
2022-07-05,27.6
2022-07-06,27.4
2022-07-07,25.7
2022-07-08,26.4
2022-07-09,26.2
2022-07-10,25.7
2022-07-11,27.5
2022-07-12,26.3
2022-07-13,24.9
2022-07-14,24.5
2022-07-15,25.6
2022-07-16,26.1
2022-07-17,25.7
2022-07-18,26.9
2022-07-19,26.2
2022-07-20,25.7
2022-07-21,24.7
2022-07-22,25.2
2022-07-23,23.8
2022-07-24,25.3
2022-07-25,27.5
2022-07-26,27.4
2022-07-27,27.5
2022-07-28,29.2
2022-07-29,29.5
2022-07-30,29.5
2022-07-31,30.9
2022-08-01,30.5
2022-08-02,29.8
2022-08-03,28.0
2022-08-04,24.1
2022-08-05,27.0
2022-08-06,28.2
2022-08-07,29.1
2022-08-08,30.0
2022-08-09,30.2
2022-08-10,29.7
2022-08-11,30.4
2022-08-12,30.5
2022-08-13,28.4
2022-08-14,26.2
2022-08-15,29.1
2022-08-16,28.3
2022-08-17,24.3
2022-08-18,25.3
2022-08-19,25.4
2022-08-20,26.3
2022-08-21,26.1
2022-08-22,28.0
2022-08-23,29.5
2022-08-24,26.1
2022-08-25,25.1
2022-08-26,25.2
2022-08-27,25.4
2022-08-28,23.8
2022-08-29,23.9
2022-08-30,25.3
2022-08-31,28.5
